Component,Category,Purpose,Qty
ESP32 DevKit v1,Microcontroller,Main game controller,1
"0.96"" OLED (SSD1306, I2C)",Display,Shows countdown and results,1
Momentary Push Buttons (12mm),Input,Player input,2
5mm Red LEDs,Indicator,Countdown and win signal,4
220Ω Resistors,Passive,LED current limiting,4
10kΩ Resistors,Passive,Button pull-downs,2
0.1µF Ceramic Capacitors,Passive,Debouncing or bypass,2
10µF Electrolytic Capacitors,Passive,Power smoothing,2
2N3904 NPN Transistors,Switching,Drive LEDs or buzzer,2
1N4148 Diodes,Protection,Protect GPIOs from reverse voltage,2
Piezo Buzzer (active),Audio,Audio feedback,1
4x4 Matrix Keypad,Input (optional),Set difficulty or player names,1
7-segment Display (TM1637),Display (optional),Show scores,1
Jumper Wires / Headers,Connectivity,Breadboard or PCB interconnects,20
Custom PCB,Fabrication,Mount components for final product,1
3D Printed Enclosure,Housing,Physical case with button mounts,1
